,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
93,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS United Kingdom,51.4945144,-0.1866172,London,United Kingdom,51.4893335,-0.144055085
94,117 Poplar High Street Tower Hamlets London E14 0AE United Kingdom,51.5090985,-0.0157302,London,United Kingdom,51.4893335,-0.144055085
95,117 Rue Lauriston 16th arr 75116 Paris France,48.8663359,2.2867935,Paris,France,48.8534951,2.3483915
96,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,48.870961,2.3267678,Paris,France,48.8534951,2.3483915
97,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,48.8865626,2.3329648,Paris,France,48.8534951,2.3483915
98,12 Boulevard Haussmann 9th arr 75009 Paris France,48.8724588,2.3378004,Paris,France,48.8534951,2.3483915
99,12 boulevard Malesherbes 8th arr 75008 Paris France,48.8715828,2.3224853,Paris,France,48.8534951,2.3483915
100,12 Folgate Street City of London London E1 6BX United Kingdom,51.5208575,-0.0779503,London,United Kingdom,51.4893335,-0.144055085
101,12 Lancaster Gate Lancaster Gate Westminster Borough London W2 3LG United Kingdom,51.5119933,-0.1782794,London,United Kingdom,51.4893335,-0.144055085
102,12 Osborn Street Aldgate East Tower Hamlets London E1 6TE United Kingdom,51.5166755,-0.0697897,London,United Kingdom,51.4893335,-0.144055085
103,12 rue de la Montagne Sainte Genevi ve 5th arr 75005 Paris France,48.8489839,2.348383,Paris,France,48.8534951,2.3483915
104,12 Rue de Louvois 2nd arr 75002 Paris France,48.8684165,2.336869,Paris,France,48.8534951,2.3483915
105,12 rue de Marignan 8th arr 75008 Paris France,48.8685093,2.3067895,Paris,France,48.8534951,2.3483915
106,12 rue de Parme 9th arr 75009 Paris France,48.881407,2.3274204,Paris,France,48.8534951,2.3483915
107,12 rue des Saussaies 8th arr 75008 Paris France,48.8713699,2.3181191,Paris,France,48.8534951,2.3483915
108,12 Rue Jean Goujon 8th arr 75008 Paris France,48.8665788,2.3084447,Paris,France,48.8534951,2.3483915
109,12 rue Saint Didier 16th arr 75016 Paris France,48.8663444,2.2881979,Paris,France,48.8534951,2.3483915
110,12 rue Saint Roch 1st arr 75001 Paris France,48.8644627,2.3318473,Paris,France,48.8534951,2.3483915
111,12 Upper Woburn Place Camden London WC1H 0HX United Kingdom,51.5266618,-0.1296571,London,United Kingdom,51.4893335,-0.144055085
112,123 boulevard S bastopol 2nd arr 75002 Paris France,48.8675886,2.3531018,Paris,France,48.8534951,2.3483915
113,123 Rue Du Faubourg Saint Honor 8th arr 75008 Paris France,48.8730823,2.309659,Paris,France,48.8534951,2.3483915
114,124 Clerkenwell Rd Camden London EC1R 5DJ United Kingdom,51.5220869,-0.1082443,London,United Kingdom,51.4893335,-0.144055085
